type,name,name_en,iata,lat,lon,osm_id
Airport,沈阳桃仙国际机场,Shenyang Taoxian International Airport,SHE,41.6370098,123.486593,way/444273995
Airport,琼海博鳌国际机场,Qionghai Bo'ao International Airport,BAR,19.1428785,110.4518973,way/451524438
Airport,珠海金湾机场,Zhuhai Jinwan Airport,ZUH,22.0081474,113.3760323,way/453308613
Airport,临汾尧都机场,Linfen Yaodu Airport,LFQ,36.1366433,111.6409474,way/454505294
Airport,重庆梁平机场,Chongqing Liangping Airport,LIA,30.6794616,107.7861666,way/455473647
Airport,自贡凤鸣通用机场,Zigong Fengming General Airport,ZKL,29.3759175,104.6244999,way/456919128
Airport,达州河市机场,Dazhou Heshi Airport,DAX,31.1306793,107.4293544,way/463072364
Airport,铜仁凤凰机场,Tongren Fenghuang Airport,TEN,27.8868874,109.3117226,way/463073291
Airport,青岛胶东国际机场,Qingdao Jiaodong International Airport,TAO,36.3607113,120.0885101,way/472034670
Airport,乌兰察布集宁机场,Ulanqab Tsining Airport,UCB,41.1301945,113.1093729,way/475570238
Airport,芜湖宣州机场,Wuhu Xuanzhou Airport,WHA,31.1037751,118.6657387,way/476752437
Airport,深圳宝安国际机场,Shenzhen Bao'an International Airport,SZX,22.6404864,113.8000259,way/479727227
Airport,昆明长水国际机场,Kunming Changshui Airport,KMG,25.1087531,102.9391513,way/481151584
Airport,陇南成县机场,Longnan Chengxian Airport,LNL,33.78927,105.7881395,way/482237710
Airport,岳阳三荷机场,Yueyang Sanhe Airport,YYA,29.3115782,113.2804431,way/482793879
Airport,遵义茅台机场,Zunyi Maotai Airport,WMT,27.9622339,106.4364319,way/484724981
Airport,泸州云龙机场,Luzhou Yunlong Airport,LZO,29.0279278,105.4687202,way/491137249
Airport,黔东南/黎平机场,Liping Airport,HZH,26.3224851,109.149764,way/500673509
Airport,荔波机场,Libo Airport,LLB,25.4496553,107.9611491,way/508428311
Airport,河池金城江机场,Hechi Jinchengjiang Airport,HCJ,24.8048226,107.7108917,way/508572932
Airport,乌拉特中旗机场,Urad Middle Banner Airport,WZQ,41.694189,108.3785635,way/509212532
Airport,凯里黄平机场,Kaili Huangping Airport,KJH,26.9718911,107.9873379,way/509720909
Airport,恩施许家坪国际机场,Enshi Xujiaping International Airport,ENH,30.3205863,109.4853361,way/518617063
Airport,神农架机场,Hongping Airport,HPG,31.6261714,110.3402278,way/518678947
Airport,建三江湿地机场,Jiansanjiang Shidi Airport,JSJ,47.1066242,132.660152,way/521115630
Airport,白城长安机场,Baicheng Chang'an Airport,DBC,45.5068553,123.0234125,way/522335996
Airport,上饶三清山机场,Shangrao Sanqingshan Airport,SQD,28.3789002,117.9621912,way/522358502
Airport,阆中古城机场,Langzhong Gucheng Airport,LZG,31.5027619,106.0356067,way/524532872
Airport,衡阳南岳机场,Hengyang Nanyue,HNY,26.7217691,112.6180587,way/525117690
Airport,阿拉善右旗机场,Alxa Right Banner Airport,RHT,39.225289,101.5494324,way/528272996
Airport,塔城千泉机场 شاۋەشەك اۋەجايى,Tacheng Airport,TCG,46.6714524,83.34439,way/528929311
